Word,Previous Words,Next Words
reporting,earlier draft pointing,paral-lel Notabilia n–(Turnhout)in
oneI,n–(Turnhout)in explicit attributing,omit Metaphysicam brevity—it
just,omit Metaphysicam brevity—it,few lines—and QMetSee
chart,few lines—and QMetSee,difference charts emphasisThe
main,charts emphasisThe (Scotus’s,passage)and aforementioned distinctiveness
alone,passage)and aforementioned distinctiveness,conceptsScotus causality ScotusQMetqnn–OP
–See,conceptsScotus causality ScotusQMetqnn–OP,Aertsen“Being One” –On
One”,ScotusQMetqnn–OP –See Aertsen“Being,–On transcendental Scotussee
–On,–See Aertsen“Being One”,transcendental Scotussee Goris’s
study,transcendental Scotussee Goris’s,Transzendentale Einheitespchapanalogous scotusgenerically
formal,thing’s conceptinasmuch intrinsic,cause intellect’s abstraction
cause,conceptinasmuch intrinsic formal,intellect’s abstraction isa
isa,cause intellect’s abstraction,concept)Scotus raises thingsespecially
may,fourth [mode incorrect],exists intellectBut nowrelates
yet,objector’s entirely acts,counterexamples unitiessuch proportionsScotus
mind“To,granting waysand relevant,proportionI foundationsas numbersor
them”,predicates predicating contained,admits besides quale
means,predication) Function–esp“To predicate,entire (species) least
(species),predicate means entire,least determinable (genus)Such
least,means entire (species),determinable (genus)Such answer
Most,questionWhat it(Quid est)”,commons (genus)See Being“In
commons,it(Quid est)” Most,(genus)See Being“In captures
existente,subject”“Quartum nonquia essetnullo,intellectuNam haberent ergo
ergo,existente intellectuNam haberent,causatur intellectu” Here
Here,ergo causatur intellectu”,againI anonymous parallel
parallel,Here againI anonymous,Metaphysicamn(Turnhout)“Contrasi nullus esset
-tionisProbatioquia,intellectusesset numeralis propor,materia unaetcTamen forte
materia,numeralis propor -tionisProbatioquia,unaetcTamen forte moti
forte,-tionisProbatioquia materia unaetcTamen,moti modis intermediisqui
moti,materia unaetcTamen forte,modis intermediisqui modi
modis,unaetcTamen forte moti,intermediisqui modi tantum
modi,moti modis intermediisqui,tantum intentionales” (“Against
tantum,modis intermediisqui modi,intentionales” (“Against saidit
argued,intentionales” (“Against saidit,understood still proportionThe
still,saidit argued understood,proportionThe proof oneetcNeverthelessperhaps
depend,modes”) belowFor unitythere,act intellect“Ad proportionedico
act,belowFor unitythere depend,intellect“Ad proportionedico realiasicut
esse,intentionaliasicut praedicari subiciPrima,intellectusecunda nonet illa
nonet,subiciPrima esse intellectusecunda,illa qua loquiturquia
illa,esse intellectusecunda nonet,qua loquiturquia praedicata
qua,intellectusecunda nonet illa,loquiturquia praedicata proportionem
double,ipsis”journal arising conceptssuch,triple numberIt think
triple,arising conceptssuch double,numberIt think acknowledge
think,double triple numberIt,acknowledge (egfeathers birds
birds,think acknowledge (egfeathers,scales fish) unitiesinasmuch
scales,acknowledge (egfeathers birds,fish) unitiesinasmuch rely
rely,scales fish) unitiesinasmuch,ones (feathers relate
ones,fish) unitiesinasmuch rely,(feathers relate anyone
dependency,numericalspecificand unity)such mindNotwithstanding,thinks mind-dependent prior
prior,dependency thinks mind-dependent,thingsHe originates rewriting
note,originates rewriting followsTo,every intellect re
re,note every intellect,originatesAnd discover unityAnd
discover,intellect re originatesAnd,unityAnd [division—that simplicity]and
second,simplicity]and ratiowhich unityis,[that proportional](QMetqnOP )From
general,MetVThe mindThe distinguishing,disjunction consider onenamelypredicable
below,joining comparisonIn selections,Philosophicawe pay particular
pay,selections below Philosophicawe,particular unityespecially thingsQuaestiones
Super,particular unityespecially thingsQuaestiones,Librum Elenchorum–The finds
“Ad,finds analogiathe Elenchorumquestions,nota omnis causata
nota,analogiathe Elenchorumquestions “Ad,omnis causata intellectu
VII,tangitur libroquaestione manifestius,Et ex unitate
Et,libroquaestione manifestius VII,ex unitate movetur
ex,manifestius VII Et,unitate movetur inveniendum
quae,movetur inveniendum intentionalem,reali fundaturEt realis
reali,inveniendum intentionalem quae,fundaturEt realis primis
primis,reali fundaturEt realis,membriset rationisquae fundatur
tali,membriset rationisquae fundatur,unitateest secunda divisione”analogous
secunda,fundatur tali unitateest,divisione”analogous scotusQuestion asks
rest,“whether possible primarily,secondarily” (In SEqOP
medium,)An affirmative admission,nameThe motivation concern
‘being’,nameThe motivation concern,substance accidentsBefore delving
SE,analogy”) numericallyspecificallyand genericallythe,equivocalAccordinglyin moving SEwe
SEwe,SE equivocalAccordinglyin moving,move referring equivocationAlthough
move,equivocalAccordinglyin moving SEwe,referring equivocationAlthough silent
silent,move referring equivocationAlthough,apply unitylater Scotistsnotably
looking,Scotistsnotably Mastriusare silentand,insight hold unityAt
hold,silentand looking insight,unityAt SEquestion secondarily
falls,SEqnOP –)Scotus writesNo,diverseThereforeeverything conceivedis conceived
“made,conclusion mediating premise,[literally univocated]” ratioIn
space,univocated]” ratioIn effectthere,conceive exclusion underlying
must,rationesHe writesTo questionit,far side linguistic
far,writesTo questionit must,side linguistic expression
side,questionit must far,linguistic expression [
expression,far side linguistic,[ vocis significantis
“Utrum,signifiedis everything intellectis,possibile aliquod significare
per,possibile aliquod significare,prius reliquum posterius”
“Inter,prius reliquum posterius”,idem diversum cadit
idem,reliquum posterius” “Inter,diversum cadit mediumergo
omne,diversum cadit mediumergo,concipiturconcipitur diversaSed concipiuntur
illis,autem diversa concipiuntursub,rationibus diversis aequivocanturCum
erit,aequivocanturCum igitur mediumomne,simpliciter aequivocum univocum”
Names”,compared contemporariessee Pini“Signification,ratiobecause certain actandthereforewhat
prime,actandthereforewhat anotherThereforeeverything clearFor,matterwhich potencyif understoodit
true,understoodit ratioAndif matterthis,else(In )To What
What,true else(In )To,whatever understandsit anotherThe
evidence,whatever understandsit anotherThe,board distinctionit lacking
board,understandsit anotherThe evidence,distinctionit lacking distinctionthat
our,paragraphScotus clarifies inability,minds univocation entail
minds,clarifies inability our,univocation entail reality“There
expression”,realitybut priority posteriority,perspective logician metaphysician
perspective,priority posteriority expression”,logician metaphysician natural
natural,perspective logician metaphysician,philosopherMetaphysics “things themselves”
“things,metaphysician natural philosopherMetaphysics,themselves” (ipsas res)whereas
standard,reason” (res rationis)Scotus,“body” corruptible incorruptible
“body”,(res rationis)Scotus standard,corruptible incorruptible bodies
“having,corruptible incorruptible bodies,dimensions” though philosopher
though,bodies “having dimensions”,philosopher says differ
says,dimensions” though philosopher,differ SEqnn–OP –)Just
differ,though philosopher says,SEqnn–OP –)Just studies
studies,differ SEqnn–OP –)Just,themselvesequivocation themselvesThe [iethe
case,[iethe metaphysician] quidditiesand,ordered [habitudinem] realityThereforethe
parte,quaestionem dicendum quantum,significantisnon vocem posteriusnam
alio,quidam actuset ideo,distinguitOmne significatursub determinata
ens,determinata significaturHoc patetnam,potentiasi intelligituroportet intelligatur
si,intelligituroportet intelligatur distinctaEt,materiamulto fortius verum
omni,materiamulto fortius verum,alio” SEqin l’analogie–She
alio”,fortius verum omni,SEqin l’analogie–She English
English,alio” SEqin l’analogie–She,translation appendix her
her,English translation appendix,–“Unde analogiased voce
–“Unde,translation appendix her,analogiased voce significante
nulla,analogiased voce significante,prioritas posterioritasQuia ali-qua
magis,posterioritasQuia ali-qua proprietas,convenit uni rei
uni,proprietas magis convenit,rei alteriSed conveniat
rei,magis convenit uni,alteriSed conveniat substantiae
Aristoteles,aliaHoc patet signumquia,libro Praedicamentorumubi determinat
ibi,mentionem analogatased solum,univocis aequivocis”For article-length
grants,analogouslywhere ‘analogy’ secondarilyScotus,thingsincluding substances accidentsdefining
standing,thingsincluding substances accidentsdefining,equivocation)In reduces signifyingHere
salient,equivocation)In reduces signifyingHere,passageNeverthelessit thingssometimes aloneyet
evil,expedience thingsand utility,posterior expressionSimilarly‘being’ accidentAnd
accident,expressionSimilarly‘being’ accidentAnd although,substanceneverthelessin expression[the accident]
hot,equivocationAn [‘healthy’]For ‘healthy’,coldof wet dryThat
wet,‘healthy’ hot coldof,dryThat animal subjectand
animal,coldof wet dryThat,subjectand signin diet
signin,dryThat animal subjectand,diet conservesAnd similarlyit
diet,animal subjectand signin,conservesAnd similarlyit element
element,diet conservesAnd similarlyit,fire matterAnd univocationsince
fire,conservesAnd similarlyit element,matterAnd univocationsince primarily(In
wayan,analogousIn respecta thingsEither,fundamental termand right
right,wayan fundamental termand,mediates equivocationAs manyScotus
“Primus,mediates equivocationAs manyScotus,philosophus res considerat
res,manyScotus “Primus philosophus,considerat suas quiditateset
suas,philosophus res considerat,quiditateset quaedam invicem
dicit,quaedam invicem habitudinemideo,Philosophus analogice dicitur
dicitur,dicit Philosophus analogice,substantia accidenteSed quia
quia,dicitur substantia accidenteSed,logicus ut caduntideo
ut,accidenteSed quia logicus,caduntideo aequivoce accidente”“Verumtamen
terminus,aequivoce accidente”“Verumtamen intelligendum,analogus quandoque plura
primi,repraesentatquan-doque solumsed reperiturExemplum,est‘expedire’ expeditionem boniset
tamen,habeat attributionem substantiamin,nullam habitudinemEt omnia
talia,nullam habitudinemEt omnia,analoga reduci primum
modum,analoga reduci primum,aequivocationisExemplum secundi estnam
animali,calidorum frigidorumhumidorum siccorumista,reperitur subiectoet signoin
dieta,reperitur subiectoet signoin,conservanteEt elemento ignis
materiae,conservanteEt elemento ignis,primaeEt reducenda univocationemcum
primo,primaeEt reducenda univocationemcum,sig-nificent unum” useful
dry”,accidentsScotus signifying coldwet,subjecturine signand conservative
commit,( mindwe principles,regarding options reduce
(c),reduce univocity(b) equivocationor,proportion) equivocationScotus’s permit
option,proportion) equivocationScotus’s permit,(c)There precisely rationesFurthermoreScotus’s
give,metaphysical physical) unityTo,example“external covering animal”
animal”,give example“external covering,“integument”) feathers fishand
feathers,covering animal” “integument”),fishand yetfrom biologist
A,QMetqand SEqq– recognition,fallacy SpainSummaries Logic“Omne
malum,expediens bonummalum expediensergo,bonum” authorship significance
bonum”,bonummalum expediensergo malum,authorship significance Spain’s
significance,malum bonum” authorship,Spain’s Summary Logicsee
pages,Spain’s Summary Logicsee,–In beingDonati shown
–In,Summary Logicsee pages,beingDonati shown was
was,–In beingDonati shown,already scholastics time
time,was already scholastics,ScotusHenceScotus holding received
holding,scholastics time ScotusHenceScotus,received writingSee esp–Pini
subject”,substancewhereas deals inherence,()See Pini’s Scoto
e,()See Pini’s Scoto,l’analogia“Il metafisico considera
la,l’analogia“Il metafisico considera,realtà conosciuta quanto
quanto,la realtà conosciuta,essenza indipendente dall’intellettoil
tale,indipendente dall’intellettoil logico,è tramite un
è,dall’intellettoil logico tale,tramite un o
un,tale è tramite,o più concetti
o,è tramite un,più concetti ed
ed,o più concetti,significata da termine”
da,concetti ed significata,termine” Ensaffirms Lectura
termine”,ed significata da,Ensaffirms Lectura creatures
ratio”,creatures “alterius alterius,More recentlyLaZellaSingular Beingaffirms
More,“alterius alterius ratio”,recentlyLaZellaSingular Beingaffirms thatfor
conception,scotusthat necessarily match,thingsA real-order exist
exist,conception thingsA real-order,absence comparing waysa
absence,thingsA real-order exist,comparing waysa thingsWhat
Question,Praedicamentaand Praedicamenta Aristotelis,familiar QMetAddressing generaScotus
genera,numberin speciesin genusand,modesnamelythe property[This fact]
pair,addressed MetVLikewiseScotus likeness,categorically (in being)
issue,irrespective mindIn Catq,causal realityThe categoriesIn
V,categoriesIn objectionScotus writes“Et,Metaphysicae tot quot
tot,writes“Et V Metaphysicae,quot sescilicet numerospeciegenere
quot,V Metaphysicae tot,sescilicet numerospeciegenere proportioneIdem
duos,numerospeciegenere proportioneIdem numeroquoad,modosscilicet accidente propriopotest
color,accidente propriopotest generibusQuia,proportionequia huiusmodi identitas
CatIn,relates whiteness humanThe,formerthe inferiorsand latterthe
lowest,formerthe inferiorsand latterthe,(animal human)and (color
-ences,(color whiteness)I doctrinal,examplesjournal [a ]thereforethe
reno,generate unitySinceaccording objectionthe,intellectScotus sayingTo thirdI
total,intellectScotus sayingTo thirdI,intentionbut occasionnamelyinasmuch moves
principal,moves actually considerand,intention]Thereforea lesser sufficesbecause
lesser,considerand principal intention]Thereforea,sufficesbecause suffices extrinsic
lend,extrinsic corresponding reality(In,clarity QMetthat occasional
nec,univoce con-venit illisergo,intentioPrima propositio patetquod
reest,propositio patetquod intellectunon,figmentumcuiusmodi intentio”“Ad tertium
dico,figmentumcuiusmodi intentio”“Ad tertium,tota causa intentionissed
tota,intentio”“Ad tertium dico,causa intentionissed occasioscilicet
causa,tertium dico tota,intentionissed occasioscilicet movet
principalis,intellectum actu consideretet,causaIdeo minor intentionisquia
minor,consideretet principalis causaIdeo,intentionisquia aliquo extrinsece
multa,extrinsece moveri causandum,considerationemquibus correspondent re”
re”,multa considerationemquibus correspondent,Pini intentionssecond inten-tionsand
Pini,considerationemquibus correspondent re”,intentionssecond inten-tionsand extramental
why,intentionssecond inten-tionsand extramental,fictitious“Extramental thingswhich intentionsdo
properties,forming intentionsdoes receive,thingsInsteadit reflects thingsNeverthelessthe
forms,thingsInsteadit reflects thingsNeverthelessthe,reflecting operation groundfor
reflecting,reflects thingsNeverthelessthe forms,operation groundfor play
operation,thingsNeverthelessthe forms reflecting,groundfor play role
play,reflecting operation groundfor,role inten-tions—not occasionsThat
role,operation groundfor play,inten-tions—not occasionsThat intentionsThis
ground,inten-tions—not occasionsThat intentionsThis,differentiate fictitious (Categories
assumption,equivocalIn caseScotus denies,correspond equal thingQuestion
equal,denies assumption correspond,thingQuestion develops divergence
established,thingQuestion develops divergence,categories” logiceven Catqnn–OP
books,themselvesThereforebeing affirmed be],Metaphysicsevidently logic[being] becauseinasmuch
once,expressionthey primacy(In passageanalogy,again corresponds equivocationand
corresponds,passageanalogy once again,equivocationand metaphysicianbut logicianThe
–when,beingssubstance explanation Porphyriiqnn–OP,thingsAfter sort unityeven
sort,Porphyriiqnn–OP –when thingsAfter,unityeven “unitas proportionis”
able,totallyHenceunity occasion itNeverthelessthe,intention” (“Contraunitas univocationis
maior,intention” (“Contraunitas univocationis,proportionisIgitur sumiturDici occasionaliter
vox,intellectSee espconclusion “Intelligendum,[‘ens’]quae apud logicum
apud,“Intelligendum vox [‘ens’]quae,logicum aequivoca scilicet
aeque,logicum aequivoca scilicet,importat multaapud metaphysicum
sed,naturalemqui considerant significando,ea significantur suntest
ea,considerant significando sed,significantur suntest quan-tum
quan-tum,ea significantur suntest,exsistunt ordinem seIdeo‘ens’
IV,ordinem seIdeo‘ens’ metaphysico,ponitur analogum substantiam
essendo,substantiam accidensquia significanturin,ordinemsed aequivocumquia vocemaeque
qin,aequivocumquia vocemaeque significantur”,–journal consequently problems
book,writes“I scienceas determined,Metaphysicsnamely knowing” )Turning
authorities,beinghe writesWhen univocalI,proofs demonstrationBut analogousdemonstrations
happen,proofs demonstrationBut analogousdemonstrations,subject] itselfbut attributedBecausefor
status,passageswe attempting equivocity,sciencewhich (per APo)
“unity,APo) scienceFollowing MetVIIScotus,Accordinglydemonstrations properly provided
independent,explains“The interme-diate essences,essenceThe logicianhoweverposits intermediate
omnes,ostenditur necessario univocumdico,illae auctoritates probationes
illae,necessario univocumdico omnes,auctoritates probationes procedunt
illo,procedunt demonstrationisQuando analogumde,fiunt demonstrationessed alia
alia,illo fiunt demonstrationessed,attribuunturQuia determinandum multis
principio,analogatis determinare attribuunturut,MetaphysicaeNec inconveniens scientiaesecundum
–for,ostendantur attribuuntur”See especially,beingScotus attribu-tion Godin
Godin,–for beingScotus attribu-tion,QMetqFor substancesee Godsee
preservation,remarkable anticipation signification),reasoningIn workScotus saves
saves,preservation reasoningIn workScotus,substanceThere substanceand substanceSuch
major,employ premises (egthe,premise)In theological worksScotus
proper,worksScotus thanbut withinthe,accidental being—but nowI
accidental,thanbut withinthe proper,being—but nowI consistency
nowI,proper accidental being—but,consistency positionThroughout transition
transition,nowI consistency positionThroughout,affirming categoriesScotus maintains
r,frombut tothe categoriesanalogous,d i n
d,tothe categoriesanalogous r,i n t
i,categoriesanalogous r d,n t oThe
n,r d i,t oThe defenses
t,d i n,oThe defenses Idand
oThe,i n t,defenses Idand dFor
Catand,uni-vocitysee espMarrone“Notion Univocity”on,Ordinatiosee esp–Marrone sums
sums,Catand Ordinatiosee esp–Marrone,sentence “The accounts
“The,esp–Marrone sums sentence,accounts nearand remain
apart”,accounts nearand remain,()The explained Cross“Duns
influenced,–Cross’s (I unaware,by) seventeenth-century Prince
Prince,influenced by) seventeenth-century,ScotistsBartolomaeus MastriusOn espSmith“Analogy
isin,beingwriting“I creature conceivedthat,altogether creaturebut Him
Him,isin altogether creaturebut,creature” (Ordinatio qq–nVC
lays,emphasis added)Just Aristotlein,thatwhere concernedthere (“a
way“at,itselfa analogousRatherconcepts otherScotus,before” analogy“they distinct”
before”,analogousRatherconcepts otherScotus way“at,analogy“they distinct” reinforces
seem,analogiae) adds“Those [concepts],‘one’ becauseat timethey
‘one’,adds“Those [concepts] seem,becauseat timethey Idistinctions
Henry,timethey Idistinctions contexts,Ghentaccording whom confusion
‘unity,GhentScotus often phrase,attribution’ (unitas attributionis)
place,attribution’ (unitas attributionis),analogy’ Later Scotistsincluding
Later,attributionis) place analogy’,Scotistsincluding Mastriusconsider synonyms
–For,Scotistsincluding Mastriusconsider synonyms,extensive Forlivesi“Nature Transcendental
im,Mastrius’s metaphysicssee AndersenMetaphysik,BarockscotismusSee Andersen’s unsuitable
–“Dico,BarockscotismusSee Andersen’s unsuitable,conceptu analogo conceptui
qui,creaturae concipitur Deusscilicet,omnino alius creatura
alius,Deusscilicet qui omnino,creatura dicitursed univoco
sibi,creatura dicitursed univoco,creaturae” “Ut comparati
“Ut,univoco sibi creaturae”,comparati analogiam simul
simul,“Ut comparati analogiam,distincti” At twentieth
At,analogiam simul distincti”,twentieth century proposed
century,distincti” At twentieth,proposed itselfnamelyMaritain Degrees
me,Maritain support positionit,saying sayingSee MaritainThe
Order,twentieth-century Thomistwho Simon“On,Analogical Sets” –“Non
Sets”,Simon“On Order Analogical,–“Non possunt aliqui
–“Non,Order Analogical Sets”,possunt aliqui conceptus
nisi,aliqui conceptus concipi,naturaliter con-cipiantur distinctione
illi,propria suaquae supponitur,unitati”“Illi videntur ‘unus’
-ent,conceptus”For Ghent’s “confusion”,indistinct conceptssee –analogous
Smith,–analogous ScotusMore recentlyMarrone,stand-in analogyFrom Ordinatiowhich
stand-in,ScotusMore recentlyMarrone Smith,analogyFrom Ordinatiowhich relationshipswe
humans,excluding otherHencejust animals,Socratesunity infinite presence
“Duns,copresent comparisonThe equivocationBut,[in d]in defence
defence,“Duns [in d]in,beingwas countering drawn
drawn,defence beingwas countering,Metaphysicsall ‘ad unum’
‘ad,countering drawn Metaphysicsall,unum’ meant “Thus
“Thus,‘ad unum’ meant,analogyor it‘attribution’ world
world,“Thus analogyor it‘attribution’,consists dependence participation
(n),consists dependence participation,“Attributione sola ponit
sola,participation (n) “Attributione,ponit unitatemquia attributionis
ponit,(n) “Attributione sola,unitatemquia attributionis univocationiset
stare,univocationiset concludit maioremtamen,cum maiore unitatesicut
cum,concludit maioremtamen stare,maiore unitatesicut generesunt
maiore,maioremtamen stare cum,unitatesicut generesunt specielicit
stat,generis specieIta hicconcedo,rationis ipsis speciebusIta—et
community,one)andin positionadopting being)Moreoverthe,shared recognize grade
grade,community shared recognize,superior inferiorindependent dependentinfinite
superior,shared recognize grade,inferiorindependent dependentinfinite finiteWe
accept,numericallyspecificallygenericallyand oneIn QMetScotus,exhaustivewhile OrdinatioScotus found)
else,transcend beingwhich unity(It,specificgenericand products conceptsIndeedI
“said,specificgenericand products conceptsIndeedI,“sufficiently contradiction serving
middle,“sufficiently contradiction serving,syllogism” )conclusionFrom survey
several,survey unitywe derive,pointsFirstanalogous unity—inasmuch Ashworth
Ashworth,several pointsFirstanalogous unity—inasmuch,broadens scope discussing
scope,unity—inasmuch Ashworth broadens,discussing “nouvelle définition
“nouvelle,broadens scope discussing,définition univoque” –“Ce
–“Ce,“nouvelle définition univoque”,latent dans cette
dans,univoque” –“Ce latent,cette citationc’est l’absence
cette,–“Ce latent dans,citationc’est l’absence totale
totale,cette citationc’est l’absence,l’idée que l’univocité
que,l’absence totale l’idée,l’univocité va avec
va,l’idée que l’univocité,avec les cinq
les,l’univocité va avec,cinq predicablesD’un seul
cinq,va avec les,predicablesD’un seul coupDuns
seul,les cinq predicablesD’un,coupDuns Scot abolit
Scot,predicablesD’un seul coupDuns,abolit le problème
le,coupDuns Scot abolit,problème présentait antérieurement
quand,problème présentait antérieurement,cherchait à concilier
à,antérieurement quand cherchait,concilier l’affirmation qu’un
terme,concilier l’affirmation qu’un,univoque signifie soit
une,signifie soit genresoit,espècesoit différencesoit propriétésoit
‘ens’,reconnaissance l’existence termescomme,‘unum’ transcendent catégories
par,‘unum’ transcendent catégories,conséquent signifient ni
ni,par conséquent signifient,genresni espècesni différencesni
deny,evils) meanings dependRather,analogous/proportional/attributive form unityeither
form,dependRather deny analogous/proportional/attributive,unityeither Cat) Ordinatio)Thirdconceptual
carry,causeof mindHencethere thingsFourthrelations,namesThat isalthough realwith
met,concerneddemonstration univocityIn Catthe,occurring substanceIn Ordinatiothis
include,categoriesas beingWhat acknowledgesbut,QMetqRecall objector “”
should,thatby parity reasoningScotus,acknowledging elsewhereand discussions
beingas,elsewhereand discussions being(The,Aquinas’swith arguable exception
De,Aquinas’swith arguable exception,Principiis Naturae) Mind-independent
’s,relationsand (analogy attribution),unitySupposing forgotten set
set,’s unitySupposing forgotten,aside QMetq workwould
make,aside QMetq workwould,univocityMajor figures shouldCajetan
figures,workwould make univocityMajor,shouldCajetan (De Conceptu
resolution,counterarguments OrdinatioIt propose,eminent figuresHoweverI qScotus’s
eminent,OrdinatioIt propose resolution,figuresHoweverI qScotus’s reasons
heart,qScotus’s reasons Scotistic,critiques (especially Cajetan’s)If
Scoti,Logicamdistinction –(VeniceA–B)For engagement,duodecim Stagiritae Libros
Pars,Stagiritae Libros Metaphysicorum,Priordistinction (Venicefolio column
column,Pars Priordistinction (Venicefolio,A)analogous scotusunity independently
Complete,causing equivocationbibliographyPrimary SourcesAristotleThe,Works AristotleRevised TranslationEdited
Works,equivocationbibliographyPrimary SourcesAristotleThe Complete,AristotleRevised TranslationEdited Jonathan
Bonaventura,MastriusDisputationes PriorVenicehttp//prdlorg/author_viewphpa_id=&type=PhilosophyBartolomaeus Mastriusand,LogicamVenicehttp//prdlorg/author_viewphpa_id=&type=PhilosophyJohn ScotusNotabilia MetaphysicamEdited
Giorgio,LogicamVenicehttp//prdlorg/author_viewphpa_id=&type=PhilosophyJohn ScotusNotabilia MetaphysicamEdited,PiniTurnhoutBrepols Publishers———Opera omniavolsEdited
———Opera,CommissionVatican CityTypis Vaticanis–[VC],philosophicavolsEdited Robert RAndrewsTimothy
